Dates,S&P 500 Total Return Gross USD,Alphabet,Exxon Mobil
2016/8/31,4120.28541143819,39.349853,59.825014
2016/9/30,4121.06442255748,40.057786,59.921130
2016/10/31,4045.89134791971,40.348732,57.202435
2016/11/30,4195.73047279453,38.653876,60.465571
2016/12/31,4278.66373723486,39.479383,62.515720
2017/1/31,4359.81476350463,40.861373,58.103742
2017/2/28,4532.92522888750,42.093905,56.838744
2017/3/31,4538.21277600728,42.236887,57.321020
2017/4/30,4584.81983926772,46.059031,57.069398
2017/5/31,4649.34109385225,49.176231,56.796932
2017/6/30,4678.36011079348,46.316099,56.959209
2017/7/31,4774.55973910534,47.104242,56.472378
2017/8/31,4789.17568543233,47.589483,54.376787
2017/9/30,4887.96752170683,48.510146,58.401794
2017/10/31,5002.03020180266,51.465433,59.377770
2017/11/30,5155.44138731509,51.621367,59.884161
2017/12/31,5212.76297065194,52.479756,60.135805
2018/1/31,5511.21426509478,58.897491,62.767286
2018/2/28,5308.08678176930,54.996632,55.012685
2018/3/31,5173.19095010748,51.669692,54.191926
2018/4/30,5193.04082042469,50.745044,56.472621
2018/5/31,5318.09948047886,54.801340,59.605632
2018/6/30,5350.83198913087,56.255568,60.698842
2018/7/31,5549.95581196014,61.139364,59.803730
2018/8/31,5730.80283059884,61.367536,59.427278
2018/9/30,5763.42218117296,60.136001,63.022417
2018/10/31,5369.49134879737,54.332041,59.064057
2018/11/30,5478.91294815055,55.282097,59.528022
2018/12/31,4984.21723228551,52.059280,51.059319
2019/1/31,5383.63155130335,56.091164,54.870610
2019/2/28,5556.49044167671,56.124045,59.833074
2019/3/31,5664.46267954846,58.631953,61.173129
2019/4/30,5893.81478338872,59.731467,60.779440
2019/5/31,5519.27362938313,55.125166,54.193636
2019/6/30,5908.25148282055,53.944446,58.681056
2019/7/31,5993.16550344273,60.689993,56.942755
2019/8/31,5898.23185926235,59.311490,53.092054
2019/9/30,6008.59036970389,60.836462,54.743428
2019/10/31,6138.73481347780,62.712660,52.386537
2019/11/30,6361.56401375545,64.968981,53.457713
2019/12/31,6553.56881355636,66.727606,54.752374
2020/1/31,6550.99928881235,71.380239,48.742010
2020/2/29,6011.72637217126,66.720631,40.941480
2020/3/31,5269.20087367871,57.887651,30.220606
2020/4/30,5944.67954718052,67.091785,36.985820
2020/5/31,6227.81309144162,71.417106,36.891611
2020/6/30,6351.66687249436,70.646400,36.283106
2020/7/31,6709.80649946849,74.128776,34.141170
2020/8/31,7192.11090076595,81.182206,33.044183
2020/9/30,6918.83465125019,73.015312,28.402775
2020/10/31,6734.83661248897,80.513630,26.988014
2020/11/30,7472.05848860737,87.403155,32.307798
2020/12/31,7759.34546984665,87.315473,34.925975
2021/1/31,7681.00874580216,91.037978,37.993224
2021/2/28,7892.81193131891,100.730342,46.850394
2021/3/31,8238.48289578853,102.753508,48.108470
2021/4/30,8678.16054193133,117.249957,49.323461
2021/5/31,8738.77206418764,117.416852,51.029905
2021/6/30,8942.77689156114,121.648512,55.147617
2021/7/31,9155.21171239526,134.239867,50.330506
2021/8/31,9433.58193710970,144.174852,48.385476
2021/9/30,8994.82812466625,133.193161,52.201645
2021/10/31,9625.02186405959,147.511257,57.215914
2021/11/30,9558.33053312184,141.384965,53.820591
2021/12/31,9986.69793197637,144.328794,55.034792
2022/1/31,9469.91585800000,134.814783,68.319052
2022/2/28,9186.37284692709,134.569173,71.313504
2022/3/31,9527.45854914602,138.565187,75.105615
2022/4/30,8696.64670238395,113.697336,77.524563
2022/5/31,8712.60171588287,113.351091,88.194630
2022/6/30,7993.43078264371,108.569425,78.676959
2022/7/31,8730.46071767736,115.899851,89.049015
2022/8/31,8374.41612485791,107.829109,88.671226
2022/9/30,7603.14386127905,95.304512,80.990529
2022/10/31,8218.70471465841,94.168629,102.789607
2022/11/30,8677.99899569185,100.625223,104.112685
2022/12/31,8178.02053472647,87.911313,103.140194
2023/1/31,8691.87760890842,98.482989,108.479546
2023/2/28,8479.80487681700,89.734703,103.566358
2023/3/31,8791.13437954217,103.355326,103.330787
2023/4/30,8928.35038425413,106.952287,111.509806
2023/5/31,8967.15889996462,122.426193,97.117991
2023/6/30,9559.66635450674,119.267643,101.936822
2023/7/31,9866.77021492697,132.240614,101.927318
2023/8/31,9709.67614330832,135.678153,106.547955
2023/9/30,9246.73907035105,130.387333,112.671180
2023/10/31,9052.31216108273,123.631822,101.430893
2023/11/30,9879.01824812909,132.051301,99.350994
2023/12/31,10327.82811040870,139.185439,96.682036
2024/1/31,10501.37965919210,139.593958,99.418685
2024/2/29,11062.10722466630,137.959881,102.011612
2024/3/31,11418.02603374330,150.384840,113.450342
2024/4/30,10951.66184177640,162.192037,115.431624
2024/5/31,11494.69639170240,171.876929,115.375442
2024/6/30,11907.15019525890,181.700373,113.269835
2024/7/31,12052.08852604180,171.116563,116.684067
2024/8/31,12344.43241654200,162.976706,116.978770
2024/9/30,12608.07374203790,165.660143,116.264638
2024/10/31,12493.73637549120,170.914121,115.828224
2024/11/30,13227.13296243350,168.756594,117.960000
2024/12/31,12911.82183319860,189.300000,107.570000
